id	dest_lon	dest_lat	origin_lon	origin_lat	distance_m	duration_s
"3022"	"-71.24456128999999"	"42.33147484"	"-71.02005546300001"	"41.87118355699999"	"63225.2"	"3321"
"2019"	"-115.13687253"	"36.13294802"	"-114.835358"	"35.979494"	"38341.5"	"1939.4"
"3023"	"-80.20180233000001"	"26.26299346"	"-80.18355014799998"	"25.851372711"	"54393.4"	"2819"
"5051"	"-91.03521999"	"33.40994749999999"	"-91.88939185299999"	"33.384968042"	"107877.5"	"5287.5"
"980"	"-85.17941397"	"34.26043248"	"-85.035067098"	"34.412860522"	"25203.4"	"1707.1"
"8180"	"-98.46282597"	"34.59433251"	"-95.562922872"	"39.015944876"	"621836.6"	"24386.3"
"3024"	"-122.07794641"	"37.36894099"	"-122.15937463"	"37.721507547"	"51548.8"	"2614.4"
"5052"	"-92.07652342999999"	"30.54452714"	"-92.691032185"	"30.082532592"	"105629.8"	"5440.8"
"6016"	"-73.847447"	"40.85710696"	"-74.259808307"	"39.704645927"	"169533.5"	"7803.1"
"981"	"-104.87079899"	"39.52930201"	"-105.016216"	"39.61282"	"21743.8"	"1312.8"
"2020"	"-97.47538003"	"35.48252514"	"-97.41787703600001"	"35.217679872"	"34733.8"	"1954.5"
"3025"	"-81.52456655999998"	"41.07917685"	"-81.853724923"	"41.315665481"	"54059.2"	"2797.4"
"5053"	"-83.63633468"	"32.83311163"	"-83.065284452"	"32.119455084"	"115553.9"	"5768.5"
"6017"	"-73.99866952000001"	"40.63936883"	"-73.049236558"	"41.491902355"	"149951.2"	"7907.5"
"982"	"-72.59274859999998"	"42.12122892"	"-72.55893673699998"	"42.19509398"	"11665.4"	"961.3"
"8181"	"-73.94507865"	"40.65537848"	"-78.818023643"	"38.788492"	"553309.4"	"25393.7"
"3026"	"-81.82353069"	"41.44936012"	"-81.443264388"	"41.246309043"	"53460.2"	"2944.3"
"5054"	"-77.68552900999998"	"39.62258899"	"-78.79432007600001"	"39.695262545"	"121527.7"	"5462.8"
"983"	"-92.34721254999999"	"42.46268976"	"-92.38108621000001"	"42.276300988"	"24466.9"	"1698.7"
"2021"	"-72.59274859999998"	"42.12122892"	"-72.55700079199998"	"41.83037651"	"36883.9"	"1905.6"
"8912"	"-81.56052937"	"39.27015184"	"-82.62714011299998"	"34.304598066"	"772910.2"	"33854"
"5055"	"-90.18058124"	"44.76185513"	"-90.11013464600001"	"45.54780744600001"	"116683.5"	"6555.8"
"6018"	"-112.03981001"	"33.48023253"	"-111.24527577"	"33.838988324"	"151565.9"	"7711.7"
"984"	"-82.13790747"	"29.17539099"	"-82.21109965699999"	"29.079233458"	"16178.1"	"1220.1"
"8182"	"-96.74285734"	"43.53548113"	"-94.408267149"	"38.960126996"	"612317.4"	"24922.9"
"8913"	"-86.1270825"	"40.44727401"	"-81.384217948"	"37.411251925"	"766347.6"	"33858.2"
"6019"	"-116.40568698"	"33.76357199"	"-116.82875829"	"34.243716425"	"149881.7"	"7341.2"
"985"	"-81.37003602999998"	"28.57580601"	"-81.34735004399998"	"28.761838682"	"25508.4"	"1393.6"
"2022"	"-73.93560752"	"41.69380265"	"-73.888715085"	"41.92768266"	"29629.5"	"1727.6"
"8914"	"-80.52272218"	"34.97516097"	"-79.904559249"	"40.395029666"	"749859.8"	"32498.6"
"4832"	"-118.53122639"	"34.16979326"	"-117.44678161"	"34.089873746"	"109280.8"	"5003.8"
"6020"	"-84.98472599999998"	"34.78888306"	"-83.89368428100001"	"34.454312629"	"146891.4"	"7690.8"
"986"	"-117.63711956"	"34.10097511"	"-117.438874"	"34.055788"	"23129"	"1210.9"
"8183"	"-84.884275"	"39.86475701"	"-79.84279999999998"	"38.8345"	"560465.7"	"25103.4"
"8915"	"-75.93627526999998"	"42.09178405"	"-82.756954709"	"43.726358826"	"744892.6"	"35606"
"4833"	"-75.97789444"	"40.37678053"	"-75.43412481599998"	"39.8648774"	"91993.10000000001"	"4887.8"
"6021"	"-83.78006302999998"	"31.12569302"	"-85.17549356099998"	"30.963087083"	"161188.5"	"8352.6"
"987"	"-118.18666018"	"33.78004072"	"-118.12765378"	"33.886040421"	"20839.1"	"1239.6"
"2023"	"-86.56223839"	"30.73691671"	"-86.63034424600001"	"30.447688919"	"41926.2"	"2135.6"
"8916"	"-122.32079747"	"47.60832202"	"-116.36722562"	"43.697273393"	"784322.6"	"32675.3"
"4834"	"-88.01484703"	"42.00344747"	"-88.914682126"	"41.587208971"	"112292.8"	"6015.8"
"988"	"-88.99067187999998"	"40.49735374"	"-89.19822870500001"	"40.536520654"	"24593.9"	"1806"
"2024"	"-85.71803699999998"	"42.85766801"	"-85.21388532999998"	"42.924533729"	"51482.6"	"2576.4"
"8917"	"-115.13687253"	"36.13294802"	"-108.15352319"	"35.125774836"	"787394.8"	"33224.2"
"6022"	"-96.21063004"	"43.67227102"	"-95.35258826399999"	"44.792462937"	"172616.3"	"8375"
"989"	"-122.17596439"	"37.43304742"	"-122.09124875"	"37.388886714"	"11512.7"	"1093.1"
"8184"	"-122.07794641"	"37.36894099"	"-118.19930973"	"34.02502013300001"	"573171.5"	"24186.5"
"8918"	"-123.36655657"	"43.23997675"	"-119.1056"	"47.2974"	"784304.9"	"35867.5"
"4835"	"-80.2950132"	"25.74139215"	"-80.14578197599998"	"26.514052208"	"107768.8"	"5187.4"
"6023"	"-76.66108299999999"	"39.352274"	"-77.43325912899999"	"38.321783835"	"149517.7"	"8296.1"
"990"	"-94.59013692000001"	"39.04668414"	"-94.524974589"	"39.168714944"	"21181"	"1337"
"8185"	"-89.91469834"	"34.30737483"	"-84.50719999999998"	"34.1579"	"610441.4"	"25482.2"
"3027"	"-117.264076"	"34.04954698"	"-117.74034053"	"33.880288586"	"55362.5"	"2586.1"
"6024"	"-82.54778378999998"	"35.5772037"	"-81.999680239"	"36.722997839"	"162646.1"	"7780"
"991"	"-118.26545401"	"34.03712634"	"-118.24715436"	"34.164865901"	"17774.5"	"1111.9"
"8186"	"-85.87551653"	"37.71088865"	"-81.49798497"	"37.10871154300001"	"513530.8"	"22146.3"
"8919"	"-82.15751591999998"	"34.17508199"	"-84.456211952"	"39.190048895"	"763157.7"	"33815.7"
"4836"	"-76.53357003000001"	"38.99038001"	"-75.50260541199999"	"39.07231038"	"101816.3"	"6147.2"
"6025"	"-88.96078419"	"39.86680354"	"-87.07654614200001"	"40.175095277"	"188993.6"	"8011.1"
"8187"	"-89.81758379999998"	"33.76334487"	"-87.73207980299999"	"30.316520718"	"502471.6"	"24988.8"
"3028"	"-85.40340902"	"32.64036801"	"-85.04728398199998"	"32.437576857"	"49847"	"2817.1"
"4837"	"-93.23746136"	"44.96608722"	"-93.94898951499999"	"44.270460893"	"119398.5"	"5782.2"
"6026"	"-80.79530628000001"	"41.87985132"	"-80.09310000000001"	"40.5719"	"182319.7"	"8256.299999999999"
"544"	"-113.55383"	"37.097621"	"-113.49836957"	"37.124000401"	"9137.1"	"760"
"2025"	"-86.54014311"	"39.16137481"	"-86.48452865700001"	"38.867665233"	"41673.5"	"2189.7"
"8920"	"-84.5503171"	"33.9687358"	"-90.876509433"	"36.431505009"	"811781.4"	"34717.7"
"4838"	"-76.62364707"	"39.28818245"	"-75.55141899999998"	"39.747814"	"112843.8"	"5534.3"
"6027"	"-74.28123739"	"40.51873715"	"-73.99819999999998"	"41.835915152"	"174666.2"	"8458.4"
"545"	"-75.11578267"	"39.94081562"	"-75.072720526"	"39.851294573"	"11012"	"787.8"
"8188"	"-80.08792688"	"42.13352496"	"-76.813764819"	"39.46117355"	"599103"	"25144"
"3029"	"-87.52563279999998"	"33.20618683"	"-87.744874095"	"32.845191602"	"52218.7"	"2834.9"
"4839"	"-73.76986501999998"	"41.02519504"	"-72.783543158"	"41.394157117"	"104964.2"	"5429.4"
"6028"	"-75.00893259999998"	"39.82866361"	"-76.43961973399999"	"39.99204826"	"165796.7"	"8038.2"
"546"	"-86.83451001999998"	"40.39395199"	"-86.89309299999998"	"40.419575"	"8617.5"	"745.4"
"2026"	"-118.12919796"	"33.91897701"	"-117.94398758"	"33.935492446"	"18276.4"	"1328"
"8921"	"-81.66404042000001"	"30.31626793"	"-87.117956291"	"33.655867508"	"741814"	"34903.7"
"4840"	"-86.1270825"	"40.44727401"	"-85.140088072"	"40.499078109"	"94616.10000000001"	"5613"
"6029"	"-84.884275"	"39.86475701"	"-85.136747"	"41.073026"	"143793.6"	"7968.7"
"547"	"-93.61063149"	"42.0326483"	"-93.450355711"	"42.017906524"	"17503"	"963"
"4841"	"-74.16653456999998"	"40.9022332"	"-74.78153403"	"40.238983664"	"99459.7"	"4992.7"
"6030"	"-77.96050665"	"34.96469688"	"-76.578882791"	"35.305377482"	"166379.2"	"8266.700000000001"
"8189"	"-93.23746136"	"44.96608722"	"-96.104566484"	"41.335709096"	"623215.6"	"25499.5"
"3030"	"-78.85564999"	"38.405007"	"-78.93618983499998"	"38.635712401"	"45439.8"	"2679.3"
"548"	"-84.50827431"	"38.03182313"	"-84.504912"	"38.078121"	"6207.1"	"466.4"
